x                       y                        z                        ec.Ex(V/m)@t=4.2      ec2.Ex(V/m)@t=4.2     ec.Ey(V/m)@t=4.2      ec2.Ey(V/m)@t=4.2     ec.Ez(V/m)@t=4.2      ec2.Ez(V/m)@t=4.2
-15.08477870679948        -137.92243305697406      -18                      -0.027682625837077996    0.06733284797827348      0.003458363573017209     -0.007914422779630096    6.052028868026582E-4     0.0010062813015186596
-21.83516638685149        -137.04591361654155      -18.000000000000004      -0.02670470250782131     0.06907194970793995      0.004130220872279544     -0.009880887772406588    4.1985922849363533E-4    0.001404681100602545
-21.582185264814115       -135.46335991445284      -18.000000000000004      -0.0269180225669506      0.07026021820755801      0.0043180596193719625    -0.010869083811307967    3.5938827995588934E-4    0.001795955010656769
-18.17971968345257        -135.2317317582518       -18                      -0.026949996360883688    0.06889904991450162      0.003486347435528813     -0.007751460265611798    1.818565894590544E-4     0.0012480695629003928
-24.10090812426231        -136.66295891459242      -18.000000000000004      -0.02614251883836527     0.07251067058625764      0.004561904066398744     -0.013291929242231623    2.9211750629087874E-4    6.513860992261774E-4
-100.88970594957283       -95.33803713317631       -18                      -0.012089523524297855    0.1872588068631297       0.012154939652738506     -0.1872698625860115      -8.115993873995345E-6    -0.004756819272562514
-100.21332809226624       -94.4997691621138        -18.000000000000004      -0.011901492775807062    0.19641868096258128      0.01259186073787196      -0.203198545985155       2.0949895347636507E-4    0.003302224800305472
-101.45415531344786       -94.73935174498689       -18                      -0.011353257030232081    0.2018574189166813       0.012450145020810174     -0.22057339921353383     2.6565058300794436E-4    -0.007258552614369289
-93.88861746345006        -102.24026982708341      -18.000000000000004      -0.01317333387971568     0.16485074202771935      0.011782561884407036     -0.14541916813206512     4.562140050741922E-5     -0.0015166131969313785
-93.62380569021502        -100.80626318802638      -18.000000000000004      -0.012798316188912176    0.17611142184813033      0.011999509135395195     -0.15862500282844158     2.1612133242143727E-4    0.002675366297019366
-94.48469080839986        -101.69229645214871      -18.000000000000004      -0.012528765071241565    0.1753933705950672       0.011808112430227169     -0.16256306734104697     1.3481523701130982E-4    -0.0048391288570428515
-98.8318253246017         -95.60356351675586       -18.000000000000004      -0.012182539744014065    0.18699437720871614      0.012274822401151297     -0.1760363116663548      1.8651943121383852E-4    9.745112282359969E-4
-24.28157703643386        -134.63139378898543      -18                      -0.025842366048340358    0.07453331905028673      0.0050056996286599546    -0.013657568807400367    5.540355710223821E-4     0.0012357357965584014
-33.38746924608754        -134.73887656655884      -18.000000000000004      -0.024653465397057       0.07745995214437655      0.0055816475289821215    -0.018198617192221416    -9.79530639876695E-5     8.280863007380882E-4
-32.345484391797505       -134.11089372650454      -18.000000000000004      -0.0249506250835132      0.07672123976825129      0.005763973507006526     -0.016807079654782342    3.5111296591416874E-4    0.0012460552758852828
-24.679915478478726       -131.44260899196254      -18                      -0.02667326418443376     0.07482099768142092      0.0046415228758102485    -0.011684168929856279    6.102823152550249E-4     0.002949372041792723
-20.587821971127234       -133.57567004587133      -18.000000000000004      -0.02732390785924821     0.07191655696922972      0.004621952903959281     -0.010752939851081944    5.711508984944658E-4     0.0022514049206385778
-27.236672504284222       -130.93351680156266      -18                      -0.025221941993507357    0.07682063781667144      0.005762809460913824     -0.014876269823863216    8.203394768576308E-4     0.002180870141169559
-34.01098075712016        -134.58553041911856      -18.000000000000004      -0.023465256026578157    0.0823597401767131       0.006445366779782802     -0.02300431654743207     2.121604771332386E-4     -9.371712917953801E-4
-43.253313480694274       -131.90912822321974      -18.000000000000004      -0.022205667849107158    0.0847544224125869       0.007084176155846222     -0.026162182918255894    3.625522079886423E-5     -4.122559130550485E-4
-43.14512834001966        -131.32505676877037      -18                      -0.02234654263944676     0.08782884583419055      0.007353807710145451     -0.02733888926907942     2.551114306494166E-4     6.151565823711754E-4
-34.5847965592002         -133.7447621090727       -18.000000000000004      -0.02320007061169349     0.0844186876671209       0.0067185885250831134    -0.022524548260448363    2.844513492785694E-4     9.848262456486623E-4
-43.70646343318379        -131.7598115746706       -18.000000000000004      -0.02174261010302529     0.0897637976683298       0.007507928460310491     -0.030773455096634688    2.576404767774913E-4     -0.001334360229392928
-39.0187814506223         -127.91499600413869      -18                      -0.02292413097779426     0.08649857661985057      0.00702516175915117      -0.023262030934186367    3.921940157027848E-4     0.002961126318477151
-34.83781806617701        -129.11902196200037      -18.000000000000004      -0.024089604635662454    0.08410910923893766      0.0061864594686440455    -0.02000517478716546     4.911255485708921E-4     0.002709671545382264
-33.59924421191022        -133.86142869242246      -18.000000000000004      -0.024416352738804232    0.08159674561890522      0.006151912878843054     -0.020359629771779925    3.5308532211786314E-4    0.001496999554044957
-31.803958985564403       -129.90598995278734      -18                      -0.02466873806630332     0.08028221671095537      0.006357320886074547     -0.019687666051375174    6.417407759258253E-4     0.0023227903693268104
-61.54295021672106        -124.4274842513449       -18.000000000000004      -0.018345216674281534    0.10939594176620915      0.009300059148382426     -0.054134168554655325    3.0478984389266844E-4    -0.0010408812800903888
-60.80539676592437        -124.26646708005283      -18                      -0.01899140761767626     0.10749882133953648      0.009220311760559596     -0.05219046814821837     1.7886341610307E-4       -1.8799436330141361E-4
-60.963284995964884       -124.71125932910437      -18                      -0.019000751479471962    0.10402308660289823      0.009028191627912463     -0.04600649738666599     9.71832782579914E-5      -7.656431795529292E-6
-69.77436444008639        -120.00427017178767      -18.000000000000004      -0.01751675885717674     0.1152804709429655       0.00988509269224854      -0.06540549864710599     -6.327315579331601E-6    8.92514243844289E-5
-61.39969217152539        -123.61130301464046      -18.000000000000004      -0.01847914133073658     0.11137658257162524      0.009462931759992207     -0.055064597379294256    3.5009875967576914E-4    7.294488535952345E-4
-68.85969455492891        -119.63184422176126      -18.000000000000004      -0.017616439836734443    0.11538322462067008      0.009934810677035832     -0.062448643810899984    2.70470262856648E-4      0.0017253693125098835
-51.98684092916319        -128.72264919767576      -18.000000000000004      -0.020789545265016567    0.09482988006710968      0.008100793956478114     -0.036892276341546903    4.492517650807789E-5     5.440809944824802E-4
-43.75877036097776        -131.28947798966058      -18.000000000000004      -0.021616751988282834    0.09149625835998121      0.007777324768561744     -0.03080237473408154     3.205713208611627E-4     -5.6464498188191214E-6
-51.80568140130536        -128.45780676902493      -18.000000000000004      -0.020957314922628534    0.09447511821565868      0.008154718136287986     -0.03497693357298637     1.5530237369887345E-4    9.514194103674711E-4
-52.09352726131353        -128.0937432247207       -18.000000000000004      -0.02061198766109018     0.09912468756135985      0.008367948780684031     -0.039328070585958365    3.359791837323674E-4     0.001538559043493611
-52.33139392598861        -128.58330443581121      -18.000000000000004      -0.019826734174876865    0.09926749930681804      0.008533091679690111     -0.04111993888345703     2.803512655991843E-4     -0.001277391104177165
-58.86873409709935        -123.14789951460493      -18.000000000000004      -0.01922225703601299     0.10490172005577847      0.009198212138625669     -0.04780950265593257     1.5877444968500262E-4    0.0015119777898509785
-53.43469840586097        -126.3160838692121       -18.000000000000004      -0.019623747850166406    0.10233856610082182      0.008650505259218733     -0.04090670752663428     2.6301611809742553E-4    0.0013588046822192723
-69.12357516061547        -117.35280397491039      -18                      -0.017351794855491914    0.12240091881904765      0.010170807402395917     -0.07153765227613788     2.9599531091524983E-4    0.0021072852654799115
-70.33739692857347        -119.67717068122325      -18                      -0.016686443715182502    0.1240530089885965       0.010241929721450068     -0.0751496021552877      2.7774320483331394E-4    -0.0032249146070266
-55.523637831304335       -121.70783713750319      -18.000000000000004      -0.019515432170010172    0.103938114594276        0.008956781074222894     -0.04226466368174423     3.619178504171335E-4     0.0038073768567367474
-51.76097997948327        -123.32635280024981      -18                      -0.020521249440260236    0.10077867175060701      0.008457484576737784     -0.0384250632083436      5.215829852858178E-4     0.0035880654113782384
-60.96293449069094        -119.02858952817165      -18.000000000000004      -0.018938135464338757    0.11193225370419668      0.009457502683254404     -0.05312180281003975     4.1230089863120156E-4    0.004054913851916808
-56.503467166272245       -121.2584841135095       -18.000000000000004      -0.019330171137866614    0.10670338074132246      0.009514501625261573     -0.05012725706997401     5.178603536890591E-4     0.0030348957596757486
-43.70609469755991        -126.38172127896024      -18                      -0.022426411660152468    0.09097968076980578      0.007442008748677509     -0.028777365471796656    2.9947013691256075E-4    0.001381445674564219
-46.29824634229824        -125.47370124514607      -18                      -0.021359836213081945    0.09375972136107673      0.008029806766712019     -0.03232566625078448     3.836509399685421E-4     0.0019321455116158386
-48.844363822360506       -124.49629573059809      -18.000000000000004      -0.02090994649856559     0.09667073234016837      0.008477142538485083     -0.03878413278059156     4.6410552667452976E-4    0.0019437016013057473
-78.28020397243321        -114.6362040722461       -18.000000000000004      -0.015775950225982882    0.12890219215130472      0.010480438447547868     -0.08295305405834341     1.734387374305868E-4     -0.0010812064361402918
-77.71214940340658        -113.93170716311248      -18                      -0.015844759783397205    0.13314732757022676      0.010736457252908357     -0.08688164589710586     3.1741319664805684E-4    0.0017422229239253777
-78.84822818934902        -114.24851638289319      -18.000000000000004      -0.015382235070174962    0.13739108199681738      0.010752516894177935     -0.09611206620989843     2.9072719130122476E-4    -0.002780244143629318
-70.72987452655096        -118.38813444351138      -18.000000000000004      -0.016528542696601534    0.1279466861858296       0.010356429040033532     -0.07543177820395641     2.7582543278459326E-4    8.072288839908737E-4
-95.81778031943375        -93.30224178865353       -18                      -0.011944538026011031    0.19273239100850503      0.01276597344681818      -0.19057739039580923     2.90956219544114E-4      0.008379354277565199
-97.58119852822189        -91.45172553367588       -18.000000000000004      -0.011875950123240386    0.2049609010464053       0.012572301529399255     -0.2093625158712129      2.306248933336974E-4     0.010680192440815972
-92.6597209318129         -96.4466176025639        -18.000000000000004      -0.012350428547016179    0.18757346533062957      0.012286761968854401     -0.1680424875911181      3.868438572614726E-4     0.008467005088666232
-90.94989047182055        -98.05917568360397       -18.000000000000004      -0.01308037202994683     0.17460836660272605      0.012201421846352645     -0.1548208811467262      3.040445084891985E-4     0.007885781535073022
-86.71956623810102        -101.82456524004415      -18.000000000000004      -0.013521913477403539    0.16687991880931108      0.01177346978742122      -0.13277319730955148     4.560222691812517E-4     0.006644405175511754
-91.87792066614723        -102.14258232275114      -18.000000000000004      -0.013313578144830807    0.16581020978704064      0.011811125048517113     -0.1389483560942999      2.581777813546182E-4     0.002565481247877699
-86.43391103444756        -106.89450553816559      -18.000000000000004      -0.014026829498974417    0.15717504444379374      0.011463058772421894     -0.12370692623898094     2.774661699866954E-4     0.0026829110671281833
-86.91889429408303        -108.23162563147527      -18.000000000000004      -0.013678818653197311    0.15434347536580972      0.011377541078147146     -0.12542991509078405     2.0841266087856525E-4    -0.002710802159548109
-86.31974737662951        -108.70803107921223      -18.000000000000004      -0.014482026396017034    0.14539247690081916      0.011277017913792292     -0.11491322844803231     9.928425440837903E-5     -9.878383112985981E-6
-78.84622223693431        -113.0492623877088       -18.000000000000004      -0.015240383912257016    0.14155754486113348      0.01091269874819379      -0.09773327288040129     2.8618529597856934E-4    0.0011842443332827912
-85.18616720701502        -108.2156671254463       -18                      -0.014687150881393052    0.14683077777015735      0.01132499466606945      -0.10844705177193856     1.6997163674403737E-4    0.0036652063273209024
-80.96776551116429        -106.4414231907522       -18.000000000000004      -0.014651302949069134    0.14889066500828108      0.011688773556638665     -0.1124584091215084      4.2940514984479705E-4    0.006376963909115574
-85.0837623971826         -103.20094277398195      -18.000000000000004      -0.014382908076321144    0.1587331163486425       0.011544643406637078     -0.12239122088633536     3.335552038663536E-4     0.006555982214059952
-78.82475235429882        -108.04824645668846      -18                      -0.01505804736610609     0.1445031235887019       0.011181204034253748     -0.09813312063333986     3.070599676391339E-4     0.006218130382012059
-74.9948790829989         -110.73278411402495      -18.000000000000004      -0.015923915197099348    0.1377428247326833       0.010967244665749831     -0.09083988336766424     4.201714548131008E-4     0.005089284914909342
-101.30381199392652       -93.37808232826075       -18.000000000000004      -0.011244430775814607    0.2117459433226898       0.012539554277639642     -0.22413737556582358     1.8836857581661093E-4    0.0017150815016062637
-100.72213216160728       -87.97748732698771       -18                      -0.01108416531399333     0.21905236893980393      0.012719937620711145     -0.2279728449089049      1.375859527428247E-4     0.011489484169835862
-106.54731887473895       -87.45106626286469       -18.000000000000004      -0.010646208885817762    0.22183520747548613      0.012833125311105734     -0.2562275072177413      1.8683137221486845E-4    0.0025953639143629914
-102.59352563187332       -85.78931429428079       -18.000000000000004      -0.010656708019997296    0.22746377133441342      0.01315160491552092      -0.2657403766957884      2.5838822050161525E-4    0.010074713169075267
-107.43508630297382       -87.89838613687351       -18.000000000000004      -0.010634800797657107    0.21644111375745467      0.012530507425016602     -0.2462923945457529      1.2142913822188461E-4    -0.00433968523354622
-107.93070229612786       -87.29160329518979       -18.000000000000004      -0.01029991575339769     0.23061125482915656      0.012834534160873545     -0.28842837461508947     1.996091782577499E-4     -0.009744913911338434
-105.40261344871645       -82.31103732072735       -18.000000000000004      -0.01049361508333746     0.24680528458670636      0.013052766351055567     -0.28934980843758495     1.9500872411271075E-4    0.012758363918841553
-107.44958966383298       -86.34043345761883       -18.000000000000004      -0.010146098141507309    0.24506528276139647      0.012999921650133217     -0.29558949494701564     2.6616301336161995E-4    2.2796591090923356E-5
-107.11582305781153       -80.06975739175994       -18.000000000000004      -0.009762898408335255    0.26191962652760026      0.013167318433666253     -0.3146043673643402      2.827377006605995E-4     0.013899864993912084
-112.29068308068862       -79.95613243731471       -18                      -0.009593782548385832    0.2558562917317957       0.013188538098082958     -0.32919490868397094     1.2768832446141687E-4    0.0022531970723917993
-113.43818356565174       -80.00189617842685       -18                      -0.009483501587427648    0.25078040123615136      0.013145547830828738     -0.3435479025786208      -9.26850423373556E-6     -0.007805097436280069
-112.96416072772334       -78.68153874581041       -18                      -0.009161227872065561    0.280649977599829        0.01328780947946484      -0.3804476352884514      1.466552192361803E-4     0.00324180665364319
-109.81168219594062       -76.34696651972448       -18                      -0.009385341461765506    0.2752772230987688       0.013488176615339853     -0.369424524743593       1.9245672278600523E-4    0.014039267202988981
-118.86353912546241       -71.69932419261217       -18.000000000000004      -0.008492320403756063    0.2984631979850434       0.013433162723167413     -0.4620904980294706      -1.9053964138038282E-5   -0.01880362517106467
-113.8785585855779        -79.37621548253615       -18                      -0.008930974404783854    0.2779445231456563       0.013086421431701467     -0.391268515606388       1.0656733883607217E-4    -0.01685238355491947
-117.27540290132187       -72.22879516810484       -18.000000000000004      -0.008577111092700207    0.30574306372231597      0.013478836947792061     -0.4361439428094034      1.5632715097879668E-4    0.0027572911105693265
-119.21119162761968       -71.12206168337109       -18                      -0.007814086726268007    0.3304947672425745       0.013682686744791303     -0.5668430432136518      1.9475348768101716E-4    -0.04041843485391894
-123.71345912299195       -62.96991482972111       -18.000000000000004      -0.007149338570609842    0.36574864910215865      0.01365818986901246      -0.6455717929362947      1.047601569794665E-4     -0.029364763597257593
-123.1642948995304        -62.61520242785584       -18.000000000000004      -0.007151146168114408    0.38755135434112614      0.013908191334239225     -0.6890639436878084      1.598019600166367E-4     -0.006638337581250653
-118.97592553513739       -69.99992018689461       -18.000000000000004      -0.007717656154235364    0.3668783970034202       0.013743900710920798     -0.5844654650519487      1.4085785877337997E-4    -0.00875250305085018
-123.9868395712744        -62.43206413569015       -18                      -0.0068254586637905845   0.39959667997550713      0.013903116519512556     -0.7931201051394771      2.2338361906785545E-4    -0.06045818335644052
-127.93743582356115       -53.87159630368753       -18                      -0.006097763988146691    0.4375591045957587       0.014153600961816911     -1.0164142972495729      4.517860778226653E-5     -0.03924051052505698
-123.5655330068559        -61.70923351601735       -18                      -0.006740410340110969    0.44346647737146583      0.013995649785144337     -0.8272294566904854      1.5931268819713296E-4    -0.02578915755375988
-127.15801015373575       -53.86138611874876       -18                      -0.006262581886752905    0.47924732891751276      0.014197777732178452     -0.9519790527672711      4.596500911304702E-5     -0.0018621973473955222
-127.49824044193053       -52.74556874249546       -18                      -0.005788635270675524    0.550124921368155        0.014238332471390317     -1.1822813163665569      1.2037073751377154E-4    -0.014356398132828
-131.4021075694625        -44.74325539915071       -18.000000000000004      -0.005093162418029114    0.5655127003765467       0.014345772396265962     -1.5298755818607905      -2.0963775594869578E-5   -0.07837988043180626
-128.1772830182938        -53.297594081599605      -18.000000000000004      -0.0055517461215828234   0.5192196590432872       0.014063002467489483     -1.201852213457041       1.2220920831396143E-4    -0.08361945625723877
-130.09689219705345       -45.27420638929651       -18                      -0.0051870735834347315   0.6083654228705733       0.01436772279232379      -1.4405074930901431      1.0721520166256937E-4    -0.018943904286683022
-131.64131801537653       -44.03296662143678       -18.000000000000004      -0.004468711996890325    0.7056026801679541       0.014518568802346957     -2.0723855180498916      1.736777120910915E-4     -0.24037363656220614
